id,name,description,location_id,direction,radial_group,in_out,code,longitude,latitude
1,ANPR 1,Lansdown,1,N,1,2,b,-2.3942889887132,51.4154719953055
2,ANPR 1,Lansdown,1,S,1,1,a,-2.3942889887132,51.4154719953055
3,ANPR 2a,Swainswick,2,S,1,1,a,-2.34752683327955,51.4156465942287
4,ANPR 2b,Swainswick,2,N,1,2,b,-2.3452905746086,51.4136816228229
5,ANPR 3,Box Rd,3,E,1,2,b,-2.30819898866898,51.4029509952957
6,ANPR 3,Box Rd,3,W,1,1,a,-2.30819898866898,51.4029509952957
7,ANPR 4,Bathford,4,N,1,1,a,-2.30773898866953,51.4011609952943
8,ANPR 4,Bathford,4,S,1,2,b,-2.30773898866953,51.4011609952943
9,ANPR 5,Bathhampton,5,E,1,2,b,-2.31779298868052,51.3909779952861
10,ANPR 5,Bathhampton,5,W,1,1,a,-2.31779298868052,51.3909779952861
11,ANPR 6,Monkton Combe,6,N,1,1,a,-2.315669988696,51.3578799952596
12,ANPR 6,Monkton Combe,6,S,1,2,b,-2.315669988696,51.3578799952596
13,ANPR 7,South Stoke,7,E,1,2,b,-2.35560998872233,51.3522099952549
14,ANPR 7,South Stoke,7,W,1,1,a,-2.35560998872233,51.3522099952549
15,ANPR 8,Odd Down,8,N,1,1,a,-2.3828559887372,51.3542189952563
16,ANPR 8,Odd Down,8,S,1,2,b,-2.3828559887372,51.3542189952563
17,ANPR 9,Corston,9,E,1,1,a,-2.43200898875027,51.3860569952817
18,ANPR 9,Corston,9,W,1,2,b,-2.43200898875027,51.3860569952817
19,ANPR 10,Bath Rd,10,N,1,2,b,-2.43574798875053,51.3899769952848
20,ANPR 10,Bath Rd,10,S,1,1,a,-2.43574798875053,51.3899769952848
21,ANPR 11,Kelston,11,E,1,1,a,-2.42104898873899,51.3957439952895
22,ANPR 11,Kelston,11,W,1,2,b,-2.42104898873899,51.3957439952895
23,ANPR 12,Lansdown Rd,12,N,2,2,d,-2.36379998870706,51.3919209952866
24,ANPR 12,Lansdown Rd,12,S,2,1,c,-2.36379998870706,51.3919209952866
25,ANPR 13,Camden Rd,13,N,2,2,d,-2.35984398870511,51.3913699952862
26,ANPR 13,Camden Rd,13,S,2,1,c,-2.35984398870511,51.3913699952862
27,ANPR 14a,London Rd,14,W,2,1,c,-2.35590498870321,51.3904199952855
28,ANPR 14b,London Rd,14,E,2,2,d,-2.35524998870269,51.3907969952858
29,ANPR 15,Warminster Rd,15,E,2,2,d,-2.33925198869329,51.3906579952857
30,ANPR 15,Warminster Rd,15,W,2,1,c,-2.33925198869329,51.3906579952857
31,ANPR 16,North Rd,16,E,2,2,d,-2.34183298869742,51.3854049952815
32,ANPR 16,North Rd,16,W,2,1,c,-2.34183298869742,51.3854049952815
33,ANPR 17a,Bathwick Hill,17,W,2,1,c,-2.34824098870267,51.3825869952792
34,ANPR 17b,Bathwick Hill,17,E,2,2,d,-2.34777698870234,51.3825549952792
35,ANPR 18,Widcombe Hill,18,E,2,2,d,-2.34590198870526,51.3747039952729
36,ANPR 18,Widcombe Hill,18,W,2,1,c,-2.34590198870526,51.3747039952729
37,ANPR 19,Prior Park Rd,19,N,2,1,c,-2.35047698870849,51.3734949952719
38,ANPR 19,Prior Park Rd,19,S,2,2,d,-2.35047698870849,51.3734949952719
39,ANPR 20,Bear Flat,20,E,2,1,c,-2.36702398871661,51.3767759952745
40,ANPR 20,Bear Flat,20,W,2,2,d,-2.36702398871661,51.3767759952745
41,ANPR 21,Oldfield Park,21,N,2,1,c,-2.3755889887201,51.3798039952769
42,ANPR 21,Oldfield Park,21,S,2,2,d,-2.3755889887201,51.3798039952769
43,ANPR 22,Lower Bristol Rd,22,E,2,1,c,-2.37598398871958,51.3813729952781
44,ANPR 22,Lower Bristol Rd,22,W,2,2,d,-2.37598398871958,51.3813729952781
45,ANPR 23,Upper Bristol Rd,23,N,2,2,d,-2.37592798871751,51.3852379952812
46,ANPR 23,Upper Bristol Rd,23,S,2,1,c,-2.37592798871751,51.3852379952812
47,ANPR 24,Weston Road,24,E,2,1,c,-2.37620398871593,51.3889139952842
48,ANPR 24,Weston Road,24,W,2,2,d,-2.37620398871593,51.3889139952842
49,ANPR 25,Cavendish Rd,25,N,2,2,d,-2.36969898871087,51.3912429952861
50,ANPR 25,Cavendish Rd,25,S,2,1,c,-2.36969898871087,51.3912429952861
51,ANPR 26,Charlotte St Car Park E,26,N,3,1,e,-2.36604798871241,51.3839409952802
52,ANPR 26,Charlotte St Car Park E,26,S,3,2,f,-2.36604798871241,51.3839409952802
53,ANPR 27,Charlotte St Car Park W,27,E,3,1,e,-2.3707329887143,51.3856029952816
54,ANPR 27,Charlotte St Car Park W,27,W,3,2,f,-2.3707329887143,51.3856029952816
55,ANPR 28a,Podium Car Park,28,E,3,1,e,-2.35949498870849,51.3841799952804
56,ANPR 28b,Podium Car Park,28,W,3,2,f,-2.35950898870798,51.3851299952812
57,ANPR 29,Leisure Centre Car Park,29,N,3,1,e,-2.35393998870675,51.3809999952779
58,ANPR 29,Leisure Centre Car Park,29,S,3,2,f,-2.35393998870675,51.3809999952779
59,ANPR 30,Manvers St Car Park,30,E,3,1,e,-2.35677198870914,51.3795799952768
60,ANPR 30,Manvers St Car Park,30,W,3,2,f,-2.35677198870914,51.3795799952768
61,ANPR 31a,SouthGate Car Park,31,W,3,2,f,-2.3596699887116,51.3782199952757
62,ANPR 31b,SouthGate Car Park,31,E,3,1,e,-2.3596699887116,51.3782199952757
64,ANPR 32a,Avon St Car Park,32,S,3,1,e,-2.36202598871258,51.3789499952763
65,ANPR 32b,Avon St Car Park,32,N,3,2,f,-2.36160298871246,51.3787799952761
66,ANPR 33,Temple Cloud,33,N,4,1,g,-2.54405698884979,51.3202899952283
67,ANPR 33,Temple Cloud,33,S,4,2,h,-2.54405698884979,51.3202899952283
